best_action_reward%nearest_hospital_reward%start_state_latlon
0.3323465623560513%0.32932565642878386%(41.84611111108752, -71.40499999991452)
0.3307567968446636%0.33056388822497396%(41.48611111108724, -71.53249999991462)
0.24418294143999997%0.24418294143999997%(41.880555555532, -71.54027777769241)
0.24418294143999997%0.24418294143999997%(41.80916666664305, -71.45666666658123)
0.32262814510126586%0.24418294143999997%(41.77555555553192, -71.39611111102563)
0.3270303596206595%0.2632781469104397%(41.839166666643074, -71.42666666658121)
0.32783318111730636%0.32783318111730636%(41.58333333330954, -71.43749999991455)
0.24418294143999997%0.24418294143999997%(41.79666666664304, -71.49444444435903)
0.3501811209639491%0.3501811209639491%(41.382222222198266, -71.8269444443593)
0.3378925921084308%0.33396266810739356%(41.56222222219841, -71.49388888880348)
0.3157226764058193%0.25534481220363575%(41.61249999997623, -71.43666666658122)
0.3534279896980683%0.340116261462555%(41.72583333330965, -71.31111111102555)
0.3292509516746202%0.253511232437854%(41.91472222219869, -71.52972222213684)
0.24418294143999997%0.24418294143999997%(41.48944444442058, -71.28055555546997)
0.3272286695049221%0.2628886547699382%(41.84972222219864, -71.47944444435903)
0.24418294143999997%0.24418294143999997%(41.7833333333097, -71.49888888880349)
0.35657112330185636%0.35657112330185636%(41.78694444442081, -71.578333333248)
0.24418294143999997%0.24418294143999997%(41.79166666664304, -71.36277777769226)
0.322240364579995%0.26609663982249165%(41.39388888886494, -71.50055555547016)
0.344324758696478%0.3435830665823711%(42.00861111108765, -71.48138888880347)
0.32526616980309064%0.2629646953334693%(41.67638888886517, -71.45999999991457)
0.35925062619426096%0.34500066026179016%(41.80972222219861, -71.44416666658122)
0.258033690707687%0.258033690707687%(41.43722222219831, -71.49777777769238)
0.3371271035276683%0.3248373329971116%(41.50611111108726, -71.42666666658121)
0.3343084191458128%0.3314797199418794%(41.702499999976304, -71.42694444435898)
0.3504376589446309%0.3504376589446309%(41.82083333330973, -71.69666666658142)
0.3238062279533275%0.24418294143999997%(41.80805555553194, -71.37388888880338)
0.24418294143999997%0.24418294143999997%(41.98555555553208, -71.70638888880364)
0.328829723202887%0.315413568668114%(41.733888888865216, -71.49166666658125)
0.3193280686973609%0.2655400558920111%(41.3830555555316, -71.8169444443593)
0.33964182304546314%0.3270017706663328%(41.81666666664306, -71.38194444435895)
0.24418294143999997%0.24418294143999997%(41.9549999999765, -71.70611111102588)
0.3403355902962277%0.32670959636632574%(41.743333333309664, -71.41888888880342)
0.3145727211504315%0.24418294143999997%(41.49249999997613, -71.31111111102555)
0.24418294143999997%0.24418294143999997%(41.562777777753965, -71.45388888880345)
