best_action_reward%nearest_hospital_reward%start_state_latlon
0.24418294143999997%0.24418294143999997%(38.24555555552909, -122.598055555511)
0.2517059861223353%0.24418294143999997%(38.0094444444178, -122.30499999995524)
0.317659414801025%0.31652997890066026%(38.08416666664008, -122.16027777773289)
0.24418294143999997%0.24418294143999997%(38.00583333330668, -121.72222222217698)
0.24418294143999997%0.24418294143999997%(37.783055555528726, -122.48999999995536)
0.3443778527531779%0.33505977566105927%(37.799722222195406, -122.40916666662196)
0.33190491936691896%0.3171349486169093%(37.77611111108428, -122.17944444439956)
0.24418294143999997%0.24418294143999997%(37.767499999973154, -122.4469444443998)
0.33426142230137046%0.3244504897210432%(37.97083333330665, -122.09861111106618)
0.32536904301315195%0.24418294143999997%(37.5194444444174, -121.93222222217716)
0.24418294143999997%0.24418294143999997%(37.79777777775096, -122.4127777777331)
0.24418294143999997%0.24418294143999997%(38.263888888862446, -122.029999999955)
0.3303000902962903%0.3303000902962903%(37.35944444441728, -122.002499999955)
0.3176195380728155%0.24418294143999997%(38.294444444418026, -121.98194444439942)
0.3280598681544565%0.24418294143999997%(37.63611111108416, -122.0677777777328)
0.3419171679800344%0.33635325501865476%(37.411388888861765, -121.90277777773268)
0.3240665983514764%0.24418294143999997%(37.38749999997285, -122.168888888844)
0.24418294143999997%0.24418294143999997%(37.57222222219522, -122.0577777777328)
0.24418294143999997%0.24418294143999997%(38.32694444441805, -122.31833333328858)
0.3427218063035462%0.3309722779332884%(37.77027777775093, -122.40166666662198)
0.24418294143999997%0.24418294143999997%(37.67277777775086, -121.78166666662148)
0.31880681265808236%0.24418294143999997%(37.54638888886187, -121.97861111106609)
0.33986246466654624%0.3226525242227935%(37.716111111084224, -122.14555555551064)
0.24418294143999997%0.24418294143999997%(37.83555555552877, -121.99277777773275)
0.33949395187139725%0.32459749856765374%(37.72555555552868, -122.40722222217754)
0.24418294143999997%0.24418294143999997%(38.298611111084696, -122.30722222217746)
0.3409178871934073%0.3289786336355037%(37.78805555552873, -122.41555555551088)
0.24418294143999997%0.24418294143999997%(37.771944444417606, -122.51083333328872)
0.24418294143999997%0.24418294143999997%(37.727222222195344, -122.43083333328866)
0.24418294143999997%0.24418294143999997%(37.577222222195225, -122.32999999995523)
0.24418294143999997%0.24418294143999997%(37.48027777775071, -122.24388888884408)
0.35433795473390023%0.3508566970027322%(37.39722222219508, -122.10999999995506)
0.24418294143999997%0.24418294143999997%(38.281944444418016, -121.94861111106606)
0.3431633546027964%0.3431633546027964%(37.444722222195125, -122.14222222217732)
0.24418294143999997%0.24418294143999997%(37.99749999997334, -122.12499999995508)
0.24418294143999997%0.24418294143999997%(38.00777777775113, -122.560555555511)
0.34661057743861634%0.3251522377376012%(37.62805555552861, -122.08916666662172)
0.24418294143999997%0.24418294143999997%(37.704444444417554, -122.45499999995536)
0.24418294143999997%0.24418294143999997%(37.749722222195366, -121.90194444439936)
0.35070138897697684%0.35070138897697684%(37.34083333330615, -122.04055555551057)
0.24418294143999997%0.24418294143999997%(37.80166666663985, -122.27611111106631)
0.24418294143999997%0.24418294143999997%(38.30805555552914, -122.30833333328856)
0.24418294143999997%0.24418294143999997%(37.94166666663996, -122.36277777773306)
0.3539181013075514%0.3498421512290056%(37.33583333330615, -122.05499999995504)
0.3427942590205611%0.3306937065951992%(37.76666666663982, -122.42333333328864)
0.3225952280424917%0.24418294143999997%(37.5194444444174, -121.93222222217716)
